Name,Salary,Team,Subposition,Opp,Ceil,Floor,Value
"Nick Markakis",4400,ATL,OF,COL,0,0.72,6.54
"Freddie Freeman",5000,ATL,1B,COL,0,0.999,7.94
"Blake Swihart",3500,BOS,C/OF,TBR,0,0.999,5.64
"Joey Wendle",4200,TBR,2B/OF,BOS,0,0.999,6.93
"Trey Mancini",3800,BAL,1B/OF,CLE,0,0.999,5.45
"Mark Trumbo",4200,BAL,OF,CLE,0,0.999,6.48
"Tim Beckham",3500,BAL,3B/SS,CLE,0,0.999,4.95
"Caleb Joseph",2900,BAL,C,CLE,0,0.999,3.03
"Renato Nunez",3400,BAL,3B,CLE,0,0.999,6.86
"Yan Gomes",3800,CLE,C,BAL,0,0.999,6.3
"Greg Allen",4000,CLE,OF,BAL,0,0.999,5.16
"Jason Kipnis",4200,CLE,2B,BAL,0,0.999,6.86
"Francisco Lindor",5800,CLE,SS,BAL,0,0.805,10
"Chris Davis",3200,BAL,1B,CLE,0,0.999,6.77
"Michael Brantley",5500,CLE,OF,BAL,0,0.746,8.46
"Jose Ramirez",6000,CLE,3B,BAL,0,0.708,10.68
"Melky Cabrera",4100,CLE,OF,BAL,0,0.999,7.1
"Yonder Alonso",4500,CLE,1B,BAL,0,0.999,8.38
"Yandy Diaz",3900,CLE,3B,BAL,0,0.999,7.55
"Joey Rickard",3200,BAL,OF,CLE,0,0.999,5.72
"Willy Adames",4200,TBR,2B/SS,BOS,0,0.999,6.08
"Matt Duffy",3700,TBR,3B,BOS,0,0.999,6.79
"Andrew Benintendi",5700,BOS,OF,TBR,0,0.754,8
"Mitch Moreland",4700,BOS,1B,TBR,0,0.999,7.54
"Mallex Smith",4300,TBR,OF,BOS,0,0.752,6.96
"Jackie Bradley",4500,BOS,OF,TBR,0,0.999,6.42
"Ian Kinsler",4400,BOS,2B,TBR,0,0.999,7.63
"Xander Bogaerts",4900,BOS,SS,TBR,0,0.741,8.06
"Tommy Pham",4000,TBR,OF,BOS,0,0.771,8.03
"Cedric Mullins",4100,BAL,OF,CLE,0,0,8.6
"C.J. Cron",4000,TBR,1B,BOS,0,0.999,6.93
"Carlos Gomez",3500,TBR,OF,BOS,0,0.999,5.98
"J.D. Martinez",5900,BOS,OF,TBR,0,0.792,10.12
"Mookie Betts",6100,BOS,OF,TBR,0,0.778,11.24
"Kyle Gibson",8500,MIN,SP,DET,0,0.496,15.93
"Matt Boyd",7200,DET,SP,MIN,0,0.464,13.46
"James Shields",6300,CHW,SP,KCR,0,0.611,13.83
